Libelle_departement,La France insoumise,Les Republicains,Rassemblement National,Renaissance,Union populaire republicaine
ain,0.0,0.16,0.71,0.13,0.0
aisne,0.03,0.01,0.95,0.01,0.0
corse-du-sud,0.02,0.0,0.83,0.15,0.0
haute-corse,0.0,0.03,0.88,0.09,0.0
allier,0.01,0.0,0.32,0.67,0.0
alpes-de-haute-provence,0.08,0.0,0.86,0.06,0.0
hautes-alpes,0.05,0.02,0.07,0.86,0.0
alpes-maritimes,0.0,0.01,0.93,0.06,0.0
ardeche,0.0,0.0,0.9,0.1,0.0
ardennes,0.0,0.01,0.93,0.06,0.0
ariege,0.59,0.0,0.3,0.11,0.0
aube,0.01,0.01,0.92,0.06,0.0
aude,0.01,0.0,0.94,0.05,0.0
aveyron,0.0,0.08,0.13,0.78,0.01
bouches-du-rhone,0.16,0.0,0.81,0.03,0.0
calvados,0.0,0.01,0.12,0.87,0.0
cantal,0.0,0.04,0.17,0.59,0.2
charente,0.02,0.03,0.21,0.74,0.0
charente-maritime,0.01,0.04,0.27,0.68,0.0
cher,0.02,0.0,0.91,0.07,0.0
correze,0.0,0.0,0.18,0.82,0.0
cote-d'or,0.0,0.0,0.16,0.84,0.0
cotes-d'armor,0.0,0.0,0.09,0.91,0.0
creuse,0.04,0.04,0.12,0.77,0.03
dordogne,0.67,0.02,0.26,0.05,0.0
doubs,0.0,0.03,0.73,0.24,0.0
drome,0.01,0.0,0.95,0.04,0.0
eure,0.01,0.06,0.89,0.04,0.0
eure-et-loir,0.0,0.02,0.75,0.23,0.0
finistere,0.0,0.0,0.14,0.86,0.0
gard,0.02,0.0,0.96,0.02,0.0
haute-garonne,0.0,0.01,0.12,0.87,0.0
gers,0.0,0.0,0.12,0.88,0.0
gironde,0.03,0.0,0.14,0.83,0.0
herault,0.07,0.0,0.93,0.0,0.0
ille-et-vilaine,0.0,0.0,0.08,0.92,0.0
indre,0.01,0.01,0.92,0.06,0.0
indre-et-loire,0.0,0.02,0.13,0.85,0.0
isere,0.0,0.0,0.04,0.96,0.0
jura,0.0,0.1,0.72,0.17,0.01
landes,0.03,0.01,0.12,0.84,0.0
loir-et-cher,0.0,0.02,0.73,0.25,0.0
loire,0.0,0.0,0.86,0.14,0.0
haute-loire,0.0,0.0,0.12,0.88,0.0
loire-atlantique,0.0,0.0,0.0,1.0,0.0
loiret,0.01,0.02,0.9,0.07,0.0
lot,0.09,0.01,0.2,0.7,0.0
lot-et-garonne,0.01,0.01,0.86,0.12,0.0
lozere,0.0,0.04,0.11,0.2,0.65
maine-et-loire,0.0,0.02,0.08,0.9,0.0
manche,0.0,0.01,0.13,0.86,0.0
marne,0.0,0.08,0.78,0.14,0.0
haute-marne,0.0,0.01,0.89,0.1,0.0
mayenne,0.0,0.55,0.29,0.13,0.03
meurthe-et-moselle,0.0,0.03,0.81,0.16,0.0
meuse,0.02,0.04,0.76,0.18,0.0
morbihan,0.0,0.0,0.06,0.94,0.0
moselle,0.01,0.0,0.86,0.13,0.0
nievre,0.0,0.03,0.87,0.1,0.0
nord,0.09,0.0,0.9,0.01,0.0
oise,0.02,0.03,0.93,0.02,0.0
orne,0.0,0.7,0.26,0.04,0.0
pas-de-calais,0.07,0.0,0.83,0.1,0.0
puy-de-dome,0.0,0.0,0.16,0.84,0.0
pyrenees-atlantiques,0.0,0.0,0.01,0.99,0.0
hautes-pyrenees,0.0,0.0,0.38,0.62,0.0
pyrenees-orientales,0.03,0.01,0.96,0.0,0.0
bas-rhin,0.0,0.0,0.58,0.42,0.0
haut-rhin,0.0,0.04,0.76,0.2,0.0
rhone,0.02,0.0,0.03,0.95,0.0
haute-saone,0.0,0.04,0.88,0.08,0.0
saone-et-loire,0.0,0.0,0.74,0.26,0.0
sarthe,0.01,0.59,0.3,0.1,0.0
savoie,0.0,0.01,0.02,0.97,0.0
haute-savoie,0.0,0.67,0.13,0.2,0.0
paris,0.0,0.0,0.0,1.0,0.0
seine-maritime,0.0,0.0,0.95,0.05,0.0
seine-et-marne,0.0,0.0,0.03,0.97,0.0
yvelines,0.0,0.0,0.02,0.98,0.0
deux-sevres,0.0,0.01,0.05,0.94,0.0
somme,0.0,0.02,0.98,0.0,0.0
tarn,0.03,0.0,0.9,0.07,0.0
tarn-et-garonne,0.0,0.0,0.9,0.1,0.0
var,0.0,0.0,0.96,0.04,0.0
vaucluse,0.03,0.0,0.97,0.0,0.0
vendee,0.0,0.0,0.01,0.99,0.0
vienne,0.0,0.0,0.08,0.92,0.0
haute-vienne,0.0,0.04,0.2,0.76,0.0
vosges,0.02,0.01,0.94,0.03,0.0
yonne,0.0,0.11,0.77,0.12,0.0
territoire de belfort,0.03,0.0,0.86,0.11,0.0
essonne,0.0,0.0,0.01,0.99,0.0
hauts-de-seine,0.0,0.0,0.0,1.0,0.0
seine-saint-denis,0.71,0.0,0.23,0.06,0.0
val-de-marne,0.0,0.01,0.05,0.94,0.0
val-d'oise,0.01,0.0,0.25,0.74,0.0
